,false_negative_num,false_negative_refs,true_positive_num,true_positive_refs,false_positive_num,false_positive_refs
gun-violence,0,[],0,[],0,[]
cross-denominational,0,[],0,[],0,[]
modernity,0,[],0,[],2,"['https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Gray_Matter_IV,_Technology,_Closing_a_Website_for_Shabbat_and_Yom_Tov.23']"
bullying,0,[],0,[],2,"['https://www.sefaria.org.il/Mishneh_Torah,_Human_Dispositions.1.1', 'https://www.sefaria.org.il/Bava_Metzia.59a.4']"
dating,0,[],0,[],0,[]
independence,0,[],0,[],3,"['https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Berakhot.6b.24', 'https://www.sefaria.org.il/Exodus.6.6-7']"
liberation,1,['https://www.sefaria.org.il/Or_HaChaim_on_Leviticus.25.39.1-3'],3,"['https://www.sefaria.org.il/Deuteronomy.6.20-21', 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Exodus.6.6-7']",3,"['https://www.sefaria.org.il/II_Samuel.22.1', 'https://www.sefaria.org.il/Shem_MiShmuel,_Shemot.7.10', 'https://www.sefaria.org.il/Ramban_on_Exodus.13.21.1']"
migrants,0,[],0,[],3,"[""https://www.sefaria.org.il/Sha'ar_HaPesukim,_Parashat_Balak.56"", 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/The_Book_of_Maccabees_I_(Kahana_Translation).5.66']"
gun-safety,0,[],0,[],0,[]
disaster-response,0,[],0,[],0,[]
innovation,0,[],1,"['https://www.sefaria.org.il/Gray_Matter_IV,_Technology,_Closing_a_Website_for_Shabbat_and_Yom_Tov.23']",9,"['https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Deuteronomy.6.20-21', ""https://www.sefaria.org.il/Sha'ar_HaPesukim,_Parashat_Balak.56"", 'https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Sotah.27b.11-12', 'https://www.sefaria.org.il/Leviticus.20.23', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Machzor_Yom_Kippur_Ashkenaz_Linear,_Neilah;_Concluding_Service,_Sanctification_of_the_Day.230', 'https://www.sefaria.org.il/Sefat_Emet,_Leviticus,_Passover.20.3']"
technology,0,[],0,[],0,[]
management,0,[],0,[],3,"['https://www.sefaria.org.il/Teshuvot_Maharit,_I.63.1', 'https://www.sefaria.org.il/Deuteronomy.3.15', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184']"
masculinity,0,[],0,[],0,[]
disabilities,0,[],0,[],3,"['https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Machzor_Yom_Kippur_Ashkenaz_Linear,_Neilah;_Concluding_Service,_Sanctification_of_the_Day.230', 'https://www.sefaria.org.il/Leviticus.19.17']"
social-justice,1,['https://www.sefaria.org.il/Sefer_Chasidim.953.1'],0,[],9,"['https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Gittin.12b.12', 'https://www.sefaria.org.il/Ketubot.111a.19', 'https://www.sefaria.org.il/Pesikta_DeRav_Kahanna.25.3', 'https://www.sefaria.org.il/Tosefta_Bava_Metzia_(Lieberman).10.8', 'https://www.sefaria.org.il/Jerusalem_Talmud_Taanit.2.1.8-13', 'https://www.sefaria.org.il/Leviticus.19.17', 'https://www.sefaria.org.il/II_Kings.4.37']"
womens-empowerment,0,[],1,['https://www.sefaria.org.il/Shemot_Rabbah.28.2'],0,[]
ritual-objects,7,"['https://www.sefaria.org.il/Kohelet_Rabbah.10.20.1', 'https://www.sefaria.org.il/Ibn_Ezra_on_Numbers.5.31.1', 'https://www.sefaria.org.il/Avodat_HaKodesh_(Gabbai).2.21.14', 'https://www.sefaria.org.il/Yalkut_Shimoni_on_Nach.1071.6', 'https://www.sefaria.org.il/Midrash_Shmuel_on_Avot.5.5.2', 'https://www.sefaria.org.il/Isaiah.58.1-2', 'https://www.sefaria.org.il/Jerusalem_Talmud_Taanit.2.1.8-13']",21,"['https://www.sefaria.org.il/Leviticus.23.15-16', 'https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Mishnah_Terumot.5.9', 'https://www.sefaria.org.il/Sukkah.41a.6-8', 'https://www.sefaria.org.il/Chagigah.12b.9', 'https://www.sefaria.org.il/Vayikra_Rabbah.30.5', 'https://www.sefaria.org.il/Nazir.36a.3', 'https://www.sefaria.org.il/Maaseh_Rokeach_on_Mishnah,_Seder_Nezikin,_Bava_Metzia.12', ""https://www.sefaria.org.il/Midrash_Tanchuma,_Re'eh.14.1"", 'https://www.sefaria.org.il/Mishnah_Megillah.4.2', 'https://www.sefaria.org.il/Leviticus.10.8-10', 'https://www.sefaria.org.il/Tamid.27b.7', 'https://www.sefaria.org.il/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.8', 'https://www.sefaria.org.il/Tosefta_Berakhot_(Lieberman).6.10', 'https://www.sefaria.org.il/Tosefta_Mikvaot.6.5', ""https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Beha'alotcha.4.1"", 'https://www.sefaria.org.il/Ramban_on_Leviticus.1.9.1', 'https://www.sefaria.org.il/Mishneh_Torah,_Repentance.3.4', 'https://www.sefaria.org.il/Mishnah_Parah.4.2', 'https://www.sefaria.org.il/Sefat_Emet,_Leviticus,_Passover.20.3', 'https://www.sefaria.org.il/Sefer_Chasidim.902.1']",24,"['https://www.sefaria.org.il/Deuteronomy.4.10', 'https://www.sefaria.org.il/Mishnah_Kelim.4.1', ""https://www.sefaria.org.il/Zohar,_Ha'Azinu.5.20"", 'https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Shir_HaShirim_Rabbah.1.6.5', 'https://www.sefaria.org.il/Selichot_Nusach_Lita_Linear,_Third_Day.2.131', 'https://www.sefaria.org.il/Sefer_HaTashbetz,_Part_IV.1.42.8', ""https://www.sefaria.org.il/Sha'ar_HaPesukim,_Parashat_Balak.56"", 'https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Introductions_to_Amoraic_Literature,_Part_I_(Introductions_to_Tractates_of_the_Babli),_Nazir.110', 'https://www.sefaria.org.il/Rashi_on_Deuteronomy.22.5.1-3', 'https://www.sefaria.org.il/The_Antiquities_of_the_Jews.10.10.2', 'https://www.sefaria.org.il/Devarim_Rabbah.3.1', 'https://www.sefaria.org.il/Berakhot.18b.7-9', 'https://www.sefaria.org.il/Midrash_Tehillim.119.28', 'https://www.sefaria.org.il/Mishneh_Torah,_Paschal_Offering.4.11', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Sefer_HaIkkarim,_Maamar_4.35.2', 'https://www.sefaria.org.il/Abudarham,_Shabbat_Prayers,_The_Conclusion_of_Shabbat.18', ""https://www.sefaria.org.il/Mishpetei_Uziel,_Volume_VI,_Yoreh_De'ah.73.63"", 'https://www.sefaria.org.il/Exodus.6.6-7', 'https://www.sefaria.org.il/HaElef_Lekha_Shlomo,_Yoreh_Deah.122.1']"
etrog,1,['https://www.sefaria.org.il/Vayikra_Rabbah.30.5'],0,[],1,['https://www.sefaria.org.il/Tosefta_Berakhot_(Lieberman).6.10']
four-cups,0,[],0,[],0,[]
priestly-garments,0,[],1,['https://www.sefaria.org.il/Tamid.27b.7'],0,[]
cup-for-the-blessing,0,[],0,[],0,[]
the-gold-altar,0,[],0,[],0,[]
the-copper-altar,0,[],0,[],0,[]
the-menorah,0,[],1,"[""https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Beha'alotcha.4.1""]",1,['https://www.sefaria.org.il/Devarim_Rabbah.3.1']
the-curtain,0,[],0,[],1,['https://www.sefaria.org.il/Berakhot.18b.7-9']
temple-vessels,1,"[""https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Beha'alotcha.4.1""]",0,[],0,[]
head-coverings,0,[],0,[],1,['https://www.sefaria.org.il/Rashi_on_Deuteronomy.22.5.1-3']
the-tablets,2,"['https://www.sefaria.org.il/Kohelet_Rabbah.10.20.1', 'https://www.sefaria.org.il/Avodat_HaKodesh_(Gabbai).2.21.14']",1,['https://www.sefaria.org.il/Chagigah.12b.9'],6,"['https://www.sefaria.org.il/Deuteronomy.4.10', 'https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Selichot_Nusach_Lita_Linear,_Third_Day.2.131', 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Exodus.6.6-7']"
lulav,0,[],3,"['https://www.sefaria.org.il/Sukkah.41a.6-8', 'https://www.sefaria.org.il/Vayikra_Rabbah.30.5', 'https://www.sefaria.org.il/Tosefta_Berakhot_(Lieberman).6.10']",0,[]
showbread,1,['https://www.sefaria.org.il/Midrash_Shmuel_on_Avot.5.5.2'],0,[],0,[]
mezuzah,0,[],0,[],0,[]
menorah,0,[],0,[],2,"['https://www.sefaria.org.il/Devarim_Rabbah.3.1', ""https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Beha'alotcha.4.1""]"
maaser-sheni,1,"[""https://www.sefaria.org.il/Midrash_Tanchuma,_Re'eh.14.1""]",0,[],0,[]
mikvah,0,[],1,['https://www.sefaria.org.il/Tosefta_Mikvaot.6.5'],1,['https://www.sefaria.org.il/Nazir.36a.3']
mishkan,0,[],3,"['https://www.sefaria.org.il/Leviticus.10.8-10', ""https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Beha'alotcha.4.1"", 'https://www.sefaria.org.il/Mishnah_Parah.4.2']",1,"['https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184']"
candles,0,[],0,[],3,"['https://www.sefaria.org.il/Devarim_Rabbah.3.1', 'https://www.sefaria.org.il/Midrash_Tehillim.119.28', ""https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Beha'alotcha.4.1""]"
sukkah,1,['https://www.sefaria.org.il/Yalkut_Shimoni_on_Nach.1071.6'],0,[],0,[]
torah-scrolls,0,[],3,"['https://www.sefaria.org.il/Mishnah_Megillah.4.2', 'https://www.sefaria.org.il/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.8', 'https://www.sefaria.org.il/Sefer_Chasidim.902.1']",8,"['https://www.sefaria.org.il/Deuteronomy.4.10', ""https://www.sefaria.org.il/Zohar,_Ha'Azinu.5.20"", 'https://www.sefaria.org.il/Shir_HaShirim_Rabbah.1.6.5', 'https://www.sefaria.org.il/Sefer_HaTashbetz,_Part_IV.1.42.8', 'https://www.sefaria.org.il/Chagigah.12b.9', 'https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Midrash_Tehillim.119.28', ""https://www.sefaria.org.il/Mishpetei_Uziel,_Volume_VI,_Yoreh_De'ah.73.63""]"
parah-adumah,0,[],0,[],0,[]
tzitzit,0,[],2,"['https://www.sefaria.org.il/Maaseh_Rokeach_on_Mishnah,_Seder_Nezikin,_Bava_Metzia.12', 'https://www.sefaria.org.il/Tosefta_Berakhot_(Lieberman).6.10']",0,[]
incense,1,['https://www.sefaria.org.il/Midrash_Shmuel_on_Avot.5.5.2'],0,[],2,"['https://www.sefaria.org.il/Ramban_on_Leviticus.1.9.1', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
mincha-(קרבן),1,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32']",0,[],0,[]
libations,0,[],1,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32']",1,['https://www.sefaria.org.il/Mishnah_Parah.4.2']
omer-offering,1,['https://www.sefaria.org.il/Midrash_Shmuel_on_Avot.5.5.2'],2,"['https://www.sefaria.org.il/Leviticus.23.15-16', 'https://www.sefaria.org.il/Sukkah.41a.6-8']",0,[]
shabbat-candles,0,[],0,[],1,['https://www.sefaria.org.il/Devarim_Rabbah.3.1']
shofar,2,"['https://www.sefaria.org.il/Isaiah.58.1-2', 'https://www.sefaria.org.il/Jerusalem_Talmud_Taanit.2.1.8-13']",1,"['https://www.sefaria.org.il/Mishneh_Torah,_Repentance.3.4']",0,[]
oils1,0,[],0,[],0,[]
mixtures,1,['https://www.sefaria.org.il/Nazir.36a.3'],1,['https://www.sefaria.org.il/Mishnah_Terumot.5.9'],3,"['https://www.sefaria.org.il/The_Antiquities_of_the_Jews.10.10.2', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/HaElef_Lekha_Shlomo,_Yoreh_Deah.122.1']"
tefillin,0,[],1,['https://www.sefaria.org.il/Tosefta_Berakhot_(Lieberman).6.10'],0,[]
terumah,0,[],3,"['https://www.sefaria.org.il/Mishnah_Terumot.5.9', 'https://www.sefaria.org.il/Nazir.36a.3', ""https://www.sefaria.org.il/Midrash_Tanchuma,_Re'eh.14.1""]",0,[]
geniza,0,[],0,[],2,"['https://www.sefaria.org.il/Introductions_to_Amoraic_Literature,_Part_I_(Introductions_to_Tractates_of_the_Babli),_Nazir.110', 'https://www.sefaria.org.il/Sefer_Chasidim.902.1']"
kippah,0,[],0,[],0,[]
tallit,0,[],2,"['https://www.sefaria.org.il/Maaseh_Rokeach_on_Mishnah,_Seder_Nezikin,_Bava_Metzia.12', 'https://www.sefaria.org.il/Tosefta_Berakhot_(Lieberman).6.10']",0,[]
the-four-species,0,[],3,"['https://www.sefaria.org.il/Sukkah.41a.6-8', 'https://www.sefaria.org.il/Vayikra_Rabbah.30.5', 'https://www.sefaria.org.il/Tosefta_Berakhot_(Lieberman).6.10']",1,"['https://www.sefaria.org.il/Abudarham,_Shabbat_Prayers,_The_Conclusion_of_Shabbat.18']"
menorah1,0,[],1,"[""https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Beha'alotcha.4.1""]",1,['https://www.sefaria.org.il/Devarim_Rabbah.3.1']
altars,0,[],2,"['https://www.sefaria.org.il/Vayikra_Rabbah.30.5', 'https://www.sefaria.org.il/Ramban_on_Leviticus.1.9.1']",5,"['https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Mishneh_Torah,_Paschal_Offering.4.11', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Mishnah_Parah.4.2']"
stories,7,"['https://www.sefaria.org.il/Berakhot.63b.12-64a.3', 'https://www.sefaria.org.il/Derekh_HaMelekh,_Torah,_Chayei_Sara.2.10', 'https://www.sefaria.org.il/Maaseh_Rokeach_on_Mishnah,_Seder_Nezikin,_Bava_Metzia.12', ""https://www.sefaria.org.il/Midrash_Tanchuma,_Re'eh.14.1"", 'https://www.sefaria.org.il/Kohelet_Rabbah.10.20.1', 'https://www.sefaria.org.il/Pesachim.39a.1-15', 'https://www.sefaria.org.il/Rashi_on_II_Samuel.5.24.1-2']",41,"['https://www.sefaria.org.il/Deuteronomy.4.10', ""https://www.sefaria.org.il/Zohar,_Ha'Azinu.5.20"", 'https://www.sefaria.org.il/Berakhot.62b.14-16', 'https://www.sefaria.org.il/Deuteronomy.6.20-21', 'https://www.sefaria.org.il/Shemot_Rabbah.28.2', 'https://www.sefaria.org.il/II_Samuel.22.1', 'https://www.sefaria.org.il/Sukkah.41a.6-8', 'https://www.sefaria.org.il/Book_of_Jubilees.2.33', 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Duties_of_the_Heart,_Fourth_Treatise_on_Trust.3.11', 'https://www.sefaria.org.il/Shem_MiShmuel,_Shemot.7.10', 'https://www.sefaria.org.il/Vayikra_Rabbah.30.5', 'https://www.sefaria.org.il/Midrash_Tanchuma,_Noach.18.7', 'https://www.sefaria.org.il/Sotah.27b.11-12', 'https://www.sefaria.org.il/Taanit.29a.1-17', 'https://www.sefaria.org.il/II_Chronicles.2.2', 'https://www.sefaria.org.il/Chagigah.6a.15', 'https://www.sefaria.org.il/Ramban_on_Exodus.13.21.1', 'https://www.sefaria.org.il/Sforno_on_Genesis.35.10.1', 'https://www.sefaria.org.il/Numbers.11.18-20', 'https://www.sefaria.org.il/Rashi_on_Genesis.25.27.1-28.1', 'https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Vayishlach.6.2', 'https://www.sefaria.org.il/Sotah.37a.3', 'https://www.sefaria.org.il/Genesis.20.15-18', 'https://www.sefaria.org.il/Radak_on_Genesis.27.19.1', 'https://www.sefaria.org.il/Avodat_HaKodesh_(Gabbai).2.21.14', 'https://www.sefaria.org.il/Deuteronomy.3.15', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Deuteronomy.8.7-10', 'https://www.sefaria.org.il/Genesis.22.1-2', 'https://www.sefaria.org.il/Yalkut_Shimoni_on_Nach.1071.6', ""https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Beha'alotcha.4.1"", 'https://www.sefaria.org.il/On_Dreams,_Book_II.16.1', 'https://www.sefaria.org.il/Deuteronomy.18.14-15', 'https://www.sefaria.org.il/Ramban_on_Leviticus.1.9.1', 'https://www.sefaria.org.il/Exodus.6.6-7', 'https://www.sefaria.org.il/Genesis.42.19', 'https://www.sefaria.org.il/Malbim_on_Exodus.4.1.2', 'https://www.sefaria.org.il/Sefat_Emet,_Numbers,_Chukat.16.2', 'https://www.sefaria.org.il/Sefat_Emet,_Leviticus,_Passover.20.3', 'https://www.sefaria.org.il/Shenei_Luchot_HaBerit,_Torah_Shebikhtav,_Vayeshev,_Miketz,_Vayigash,_Torah_Ohr.24']",51,"['https://www.sefaria.org.il/Panekha_Avakesh.18.44', 'https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Siddur_Sefard,_Holidays,_Yom_Tov_Musaf_Amidah.32', 'https://www.sefaria.org.il/Shir_HaShirim_Rabbah.1.6.5', 'https://www.sefaria.org.il/Jeremiah.48.14', 'https://www.sefaria.org.il/Selichot_Nusach_Lita_Linear,_Third_Day.2.131', 'https://www.sefaria.org.il/Talmud_Eser_HaSefirot,_Section_XIV,_List_of_Questions_on_Terminology.84', ""https://www.sefaria.org.il/Sha'ar_HaPesukim,_Parashat_Balak.56"", 'https://www.sefaria.org.il/Chagigah.12b.9', 'https://www.sefaria.org.il/Derekh_Chayim.3.9.1-2', 'https://www.sefaria.org.il/Introductions_to_Amoraic_Literature,_Part_I_(Introductions_to_Tractates_of_the_Babli),_Nazir.110', 'https://www.sefaria.org.il/Shenei_Luchot_HaBerit,_Torah_Shebikhtav,_Matot,_Masei,_Devarim,_Ner_Mitzvah.10', 'https://www.sefaria.org.il/Tikkunei_Zohar.36b.3', 'https://www.sefaria.org.il/Mishnah_Kelim.1.4', 'https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_3_The_Holy_Land.13.8', 'https://www.sefaria.org.il/Machzor_Rosh_Hashanah_Ashkenaz_Linear,_The_Morning_Prayers,_Yehi_Kevod.127', 'https://www.sefaria.org.il/Sanhedrin.94b.12', 'https://www.sefaria.org.il/Berakhot.28b.1-11', 'https://www.sefaria.org.il/Devarim_Rabbah.3.1', 'https://www.sefaria.org.il/Leviticus.20.23', 'https://www.sefaria.org.il/Midrash_Tehillim.119.28', 'https://www.sefaria.org.il/Mishneh_Torah,_Paschal_Offering.4.11', 'https://www.sefaria.org.il/Horayot.6a.3', 'https://www.sefaria.org.il/Berakhot.31a.13', 'https://www.sefaria.org.il/Derashot_HaRan.11.26', 'https://www.sefaria.org.il/Reshit_Chokhmah,_Gate_of_Fear.8.28', 'https://www.sefaria.org.il/Mishnah_Megillah.4.2', 'https://www.sefaria.org.il/Berakhot.30a.8-9', 'https://www.sefaria.org.il/Sifrei_Devarim.13.6', 'https://www.sefaria.org.il/Siddur_Ashkenaz,_Weekday,_Shacharit,_Amidah,_Knowledge.1', 'https://www.sefaria.org.il/Ibn_Ezra_on_Numbers.5.31.1', 'https://www.sefaria.org.il/Shir_HaShirim_Rabbah.5.2.1', 'https://www.sefaria.org.il/Midrash_Tehillim.104.1', 'https://www.sefaria.org.il/Leviticus.10.8-10', 'https://www.sefaria.org.il/Allegorical_Interpretation_of_Genesis,_Book_III,_Introduction.42', 'https://www.sefaria.org.il/Berakhot.15b.12', 'https://www.sefaria.org.il/Or_HaChaim_on_Leviticus.25.39.1-3', 'https://www.sefaria.org.il/Sefat_Emet,_Genesis,_Chayei_Sara.19.4', 'https://www.sefaria.org.il/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.8', 'https://www.sefaria.org.il/Ketubot.111a.19', ""https://www.sefaria.org.il/Al_Kapot_HaMan'ul;_Homilies_for_the_Days_of_Awe,_A_Reflection_into_the_Future.17"", 'https://www.sefaria.org.il/Isaiah.58.1-2', 'https://www.sefaria.org.il/Mesilat_Yesharim.18.9', ""https://www.sefaria.org.il/Mishpetei_Uziel,_Volume_VI,_Yoreh_De'ah.73.63"", 'https://www.sefaria.org.il/Proverbs.26.14', 'https://www.sefaria.org.il/Sanhedrin.17b.5', 'https://www.sefaria.org.il/Mishnah_Parah.4.2', 'https://www.sefaria.org.il/Machzor_Yom_Kippur_Ashkenaz_Linear,_Neilah;_Concluding_Service,_Sanctification_of_the_Day.230', 'https://www.sefaria.org.il/The_Book_of_Maccabees_I_(Kahana_Translation).5.66', 'https://www.sefaria.org.il/Taanit.7a.6', 'https://www.sefaria.org.il/Leviticus.19.17']"
marah,0,[],0,[],0,[]
prayer-of-abraham,1,['https://www.sefaria.org.il/Genesis.20.15-18'],0,[],2,"['https://www.sefaria.org.il/Berakhot.30a.8-9', 'https://www.sefaria.org.il/Genesis.22.1-2']"
covenant-with-the-patriarchs,0,[],1,['https://www.sefaria.org.il/Pardes_Rimonim.13.1.38'],11,"['https://www.sefaria.org.il/Berakhot.62b.14-16', 'https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Shemot_Rabbah.28.2', 'https://www.sefaria.org.il/Selichot_Nusach_Lita_Linear,_Third_Day.2.131', 'https://www.sefaria.org.il/Sforno_on_Genesis.35.10.1', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Genesis.22.1-2', 'https://www.sefaria.org.il/Mesilat_Yesharim.18.9', 'https://www.sefaria.org.il/Exodus.6.6-7', 'https://www.sefaria.org.il/Sefat_Emet,_Leviticus,_Passover.20.3', 'https://www.sefaria.org.il/Shenei_Luchot_HaBerit,_Torah_Shebikhtav,_Vayeshev,_Miketz,_Vayigash,_Torah_Ohr.24']"
prophecy-of-the-patriarchs,1,['https://www.sefaria.org.il/Radak_on_Genesis.27.19.1'],0,[],0,[]
abraham-in-ur-kasdim-and-his-departure-from-there,0,[],0,[],0,[]
abraham-in-egypt,0,[],0,[],2,"['https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Shenei_Luchot_HaBerit,_Torah_Shebikhtav,_Vayeshev,_Miketz,_Vayigash,_Torah_Ohr.24']"
covenant-of-abraham,0,[],0,[],9,"['https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Selichot_Nusach_Lita_Linear,_Third_Day.2.131', 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Sforno_on_Genesis.35.10.1', 'https://www.sefaria.org.il/Deuteronomy.3.15', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Deuteronomy.8.7-10', 'https://www.sefaria.org.il/Genesis.22.1-2', 'https://www.sefaria.org.il/Exodus.6.6-7']"
gods-blessing-and-promise-to-abraham,1,['https://www.sefaria.org.il/Deuteronomy.8.7-10'],1,['https://www.sefaria.org.il/Sforno_on_Genesis.35.10.1'],13,"['https://www.sefaria.org.il/LaKelal_VeLaPerat,_Volume_I,_4_Bar_and_Bat_Mitzvah.7.13', 'https://www.sefaria.org.il/Selichot_Nusach_Lita_Linear,_Third_Day.2.131', 'https://www.sefaria.org.il/Pardes_Rimonim.13.1.38', 'https://www.sefaria.org.il/Sanhedrin.94b.12', 'https://www.sefaria.org.il/Midrash_Tanchuma_Buber,_Vayishlach.6.2', 'https://www.sefaria.org.il/Genesis.20.15-18', 'https://www.sefaria.org.il/Siddur_Ashkenaz,_Weekday,_Shacharit,_Amidah,_Knowledge.1', 'https://www.sefaria.org.il/Shir_HaShirim_Rabbah.5.2.1', 'https://www.sefaria.org.il/Shabbat_Siddur_Sefard_Linear,_Maariv_Service_for_Shabbos_and_Yom_Tov,_Borechu.184', 'https://www.sefaria.org.il/Genesis.22.1-2', 'https://www.sefaria.org.il/Deuteronomy.18.14-15', 'https://www.sefaria.org.il/Mesilat_Yesharim.18.9', 'https://www.sefaria.org.il/Exodus.6.6-7']"
abraham-and-the-hittites,0,[],0,[],0,[]
abraham-and-the-angels,0,[],0,[],1,['https://www.sefaria.org.il/Genesis.20.15-18']
abraham-and-the-kings,1,"[""https://www.sefaria.org.il/Midrash_Tanchuma,_Re'eh.14.1""]",0,[],0,[]
abraham-and-sodom,0,[],0,[],0,[]
prophecy-of-abraham,0,[],0,[],2,"['https://www.sefaria.org.il/Radak_on_Genesis.27.19.1', 'https://www.sefaria.org.il/Deuteronomy.18.14-15']"
tests-of-abraham,2,"['https://www.sefaria.org.il/Berakhot.62b.14-16', 'https://www.sefaria.org.il/Genesis.20.15-18']",1,['https://www.sefaria.org.il/Genesis.22.1-2'],0,[]
